Program,Organization,Type,Rating,Difficulty,Students,Students_old
Financing and Investing in Infrastructure,Università Bocconi,Course,4.8,Mixed,24000,24k
Finanzas corporativas,Universidad Nacional Autónoma de México,Specialization,4.6,Intermediate,30000,30k
Finanzas personales,Universidad Nacional Autónoma de México,Course,4.8,Mixed,310000,310k
Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,Course,4.7,Beginner,36000,36k
Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,Specialization,4.6,Beginner,20000,20k
First Step Korean,Yonsei University,Course,4.9,Beginner,400000,400k
Food & Beverage Management,Università Bocconi,Course,4.8,Mixed,57000,57k
Forensic Accounting and Fraud Examination,West Virginia University,Course,4.7,Mixed,42000,42k
Formulación y evaluación de proyectos complejos,Universidad de los Andes,Course,4.9,Intermediate,4400,4.4k
Foundational Finance for Strategic Decision Making,University of Michigan,Specialization,4.8,Beginner,14000,14k
Foundations of Business Strategy,University of Virginia,Course,4.8,Beginner,63000,63k
Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,Course,4.8,Mixed,62000,62k
Foundations of Global Health,Johns Hopkins University,Specialization,4.7,Beginner,31000,31k
Foundations of Management,IESE Business School,Specialization,4.8,Beginner,64000,64k
Foundations of Marketing Analytics,Emory University,Specialization,4.2,Intermediate,27000,27k
Foundations of Positive Psychology,University of Pennsylvania,Specialization,4.8,Beginner,89000,89k
Foundations of Public Health Practice,Imperial College London,Specialization,4.8,Beginner,3200,3.2k
From Data to Insights with Google Cloud Platform,Google Cloud,Specialization,4.6,Beginner,26000,26k
From the Big Bang to Dark Energy,The University of Tokyo,Course,4.8,Beginner,52000,52k
Front-End Web Development with React,The Hong Kong University of Science and Technology,Course,4.7,Intermediate,45000,45k
Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,Course,4.8,Intermediate,89000,89k
Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,Specialization,4.7,Intermediate,150000,150k
Full-Stack Web Development with React,The Hong Kong University of Science and Technology,Specialization,4.7,Intermediate,140000,140k
Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,Course,4.8,Intermediate,170000,170k
Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,Specialization,4.7,Intermediate,220000,220k
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,Course,4.6,Beginner,30000,30k
Fundamentals of Accounting,University of Illinois at Urbana-Champaign,Specialization,4.6,Beginner,39000,39k
Fundamentals of Computing,Rice University,Specialization,4.8,Beginner,200000,200k
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,Course,4.7,Mixed,49000,49k
Fundamentals of GIS,"University of California, Davis",Course,4.8,Beginner,86000,86k
Fundamentals of Graphic Design,California Institute of the Arts,Course,4.8,Beginner,290000,290k
Fundamentals of Immunology,Rice University,Specialization,4.7,Intermediate,20000,20k
Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,Course,4.7,Intermediate,18000,18k
Fundamentals of Music Theory,The University of Edinburgh,Course,4.6,Beginner,180000,180k
Fundamentals of Project Planning and Management,University of Virginia,Course,4.7,Beginner,120000,120k
Fundamentals of Quantitative Modeling,University of Pennsylvania,Course,4.6,Mixed,110000,110k
Fundamentals of Reinforcement Learning,University of Alberta,Course,4.8,Intermediate,22000,22k
Fundamentals of Visualization with Tableau,"University of California, Davis",Course,4.5,Beginner,81000,81k
Fundamentos Empresariales,University of Pennsylvania,Specialization,4.6,Beginner,25000,25k
Fundamentos Estratégicos Empresariales,Universidad Nacional Autónoma de México,Specialization,4.6,Beginner,56000,56k
Fundamentos de Excel para Negocios,Universidad Austral,Course,4.7,Beginner,150000,150k
Fundamentos de Finanzas Empresariales,Universidad de los Andes,Course,4.8,Beginner,110000,110k
Fundamentos de la escritura,Tecnológico de Monterrey,Course,4.6,Beginner,47000,47k
Fundraising and Development,"University of California, Davis",Specialization,4.6,Beginner,4900,4.9k
Futures Thinking,Institute for the Future,Specialization,4.8,Beginner,9400,9.4k
G Suite Administration,Google Cloud,Specialization,4.7,Beginner,10000,10k
"GIS, Mapping, and Spatial Analysis",University of Toronto,Specialization,4.8,Beginner,140000,140k
Game Design and Development,Michigan State University,Specialization,4.7,Intermediate,100000,100k
Game Theory,Stanford University,Course,4.6,Beginner,260000,260k
Gamification,University of Pennsylvania,Course,4.8,Mixed,110000,110k
Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,Course,4.7,Beginner,14000,14k
Genomic Data Science,Johns Hopkins University,Specialization,4.4,Intermediate,80000,80k
Geographic Information Systems  (GIS),"University of California, Davis",Specialization,4.8,Beginner,97000,97k
Geopolitics of Europe,Sciences Po,Course,4.3,Mixed,19000,19k
Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,Course,4.8,Mixed,34000,34k
Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,Course,4.7,Mixed,47000,47k
Get Interactive: Practical Teaching with Technology,Bloomsbury Learning Exchange,Course,4.7,Beginner,14000,14k
Getting Started With Music Theory,Michigan State University,Course,4.5,Beginner,59000,59k
Getting Started with AWS Machine Learning,Amazon Web Services,Course,4.5,Intermediate,73000,73k
Getting Started with Go,"University of California, Irvine",Course,4.6,Intermediate,59000,59k
Getting Started with Google Kubernetes Engine,Google Cloud,Course,4.5,Intermediate,75000,75k
Getting Started with Google Sheets,Google Cloud,Course,4.6,Beginner,18000,18k
Getting Started with SAS Programming,SAS,Course,4.9,Beginner,22000,22k
Global Diplomacy – Diplomacy in the Modern World,SOAS University of London,Course,4.6,Mixed,79000,79k
Global Diplomacy: the United Nations in the World,SOAS University of London,Course,4.7,Beginner,29000,29k
Global Energy and Climate Policy,SOAS University of London,Course,4.5,Beginner,10000,10k
Global Environmental Management,Technical University of Denmark (DTU),Course,4.6,Intermediate,22000,22k
Global Financial Markets and Instruments,Rice University,Course,4.6,Mixed,37000,37k
Global Financing Solutions  (by EDHEC and Société Générale),EDHEC Business School,Course,4.6,Intermediate,3600,3.6k
Global Trends for Business and Society,University of Pennsylvania,Course,4.8,Mixed,7600,7.6k
"Globalization, Economic Growth and Stability",IE Business School,Specialization,4.8,Intermediate,44000,44k
Good with Words: Writing and Editing,University of Michigan,Specialization,4.6,Beginner,3800,3.8k
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,Course,4.6,Intermediate,120000,120k
Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,Course,4.7,Intermediate,36000,36k
Google IT Automation with Python,Google,Professional certificate,4.7,Beginner,93000,93k
Google IT Support,Google,Professional certificate,4.8,Beginner,350000,350k
Grammar and Punctuation,"University of California, Irvine",Course,4.7,Mixed,430000,430k
Graphic Design Elements for Non-Designers,University of Colorado Boulder,Specialization,4.7,Beginner,10000,10k
Greek and Roman Mythology,University of Pennsylvania,Course,4.8,Mixed,260000,260k
Greening the Economy: Sustainable Cities,Lund University,Course,4.6,Beginner,56000,56k
Guitar for Beginners,Berklee College of Music,Course,4.8,Mixed,210000,210k
Gut Check: Exploring Your Microbiome,University of California San Diego,Course,4.7,Mixed,62000,62k
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,Course,4.8,Mixed,240000,240k
Habilidades Gerenciales,Universidad Nacional Autónoma de México,Specialization,4.7,Beginner,43000,43k
Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,Course,4.8,Mixed,62000,62k
Hardware Description Languages for FPGA Design,University of Colorado Boulder,Course,4.2,Intermediate,7400,7.4k
Healing with the Arts,University of Florida,Course,4.6,Mixed,39000,39k
Health Informatics,Johns Hopkins University,Specialization,4.5,Beginner,8100,8.1k
Health Information Literacy for Data Analytics,"University of California, Davis",Specialization,4.5,Intermediate,5400,5.4k
Healthcare Law,University of Pennsylvania,Specialization,4.7,Intermediate,1700,1.7k
Healthcare Marketplace,University of Minnesota,Specialization,4.4,Beginner,36000,36k
Healthcare Organization Operations,Rutgers the State University of New Jersey,Specialization,4.6,Beginner,5500,5.5k
"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,Course,4.8,Mixed,46000,46k
Homeland Security and Cybersecurity,University of Colorado System,Specialization,4.7,Beginner,5500,5.5k
"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,Specialization,4.6,Beginner,28000,28k
How Things Work: An Introduction to Physics,University of Virginia,Course,4.8,Intermediate,170000,170k
How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,Course,3.3,Mixed,140000,140k
How to Start Your Own Business,Michigan State University,Specialization,4.1,Beginner,34000,34k
Human Resource Management: HR for People Managers,University of Minnesota,Specialization,4.7,Beginner,98000,98k
IBM AI Engineering,IBM,Professional certificate,4.6,Intermediate,140000,140k
IBM AI Enterprise Workflow,IBM,Specialization,4.4,Advanced,3500,3.5k
IBM Applied AI,IBM,Professional certificate,4.6,Beginner,220000,220k
IBM Customer Engagement Specialist Professional Certificate,IBM,Course,4.8,Beginner,3300,3.3k
IBM Data Science,IBM,Professional certificate,4.6,Beginner,480000,480k
IT Fundamentals for Cybersecurity,IBM,Specialization,4.5,Beginner,35000,35k
IT Security: Defense against the digital dark arts,Google,Course,4.8,Beginner,62000,62k
"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",(ISC)²,Course,4.9,Beginner,1700,1.7k
Implementación del Marketing Mix,IE Business School,Specialization,4.7,Beginner,23000,23k
Implementing RPA with Cognitive Automation and Analytics,Automation Anywhere,Specialization,4.6,Beginner,2200,2.2k
Improve Your English Communication Skills,Georgia Institute of Technology,Specialization,4.7,Beginner,610000,610k
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,Course,4.9,Beginner,270000,270k
Improving Leadership & Governance in Nonprofit Organizations,Luther College at the University of Regina,Specialization,4.4,Beginner,18000,18k
In the Studio: Postwar Abstract Painting,The Museum of Modern Art,Course,4.9,Beginner,79000,79k
Indigenous Canada,University of Alberta,Course,4.8,Mixed,51000,51k
Industrial IoT on Google Cloud Platform,Google Cloud,Course,4.5,Beginner,34000,34k
Infectious Disease Modelling,Imperial College London,Specialization,5.0,Intermediate,1600,1.6k
Influencer Marketing Strategy,Rutgers the State University of New Jersey,Course,4.4,Intermediate,12000,12k
"Influencing: Storytelling, Change Management and Governance",Macquarie University,Specialization,4.8,Beginner,22000,22k
Information Security: Context and Introduction,"Royal Holloway, University of London",Course,4.6,Beginner,32000,32k
Information Visualization,New York University,Specialization,4.6,Beginner,10000,10k
Information​ ​Systems,University of Minnesota,Specialization,4.7,Beginner,16000,16k
Initiating and Planning Projects,"University of California, Irvine",Course,4.7,Mixed,180000,180k
Innovation Management,Erasmus University Rotterdam,Course,4.6,Beginner,40000,40k
"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,Course,4.8,Beginner,10000,10k
Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,Specialization,4.8,Beginner,25000,25k
Inspirational Leadership: Leading with Sense,HEC Paris,Specialization,4.5,Beginner,72000,72k
Inspired Leadership,Case Western Reserve University,Specialization,4.7,Intermediate,97000,97k
Inspiring and Motivating Individuals,University of Michigan,Course,4.8,Mixed,85000,85k
Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,Course,4.2,Mixed,12000,12k
Instructional Methods in Health Professions Education,University of Michigan,Course,4.6,Intermediate,9700,9.7k
Integrative Health and Medicine,University of Minnesota,Specialization,4.8,Beginner,14000,14k
Intellectual Property Law,University of Pennsylvania,Specialization,4.8,Intermediate,8700,8.7k
Interaction Design,University of California San Diego,Specialization,4.5,Intermediate,150000,150k
Intercultural Management,ESCP Business School,Course,4.6,Beginner,6500,6.5k
International Business Essentials,University of London,Specialization,4.5,Intermediate,22000,22k
International Cyber Conflicts,The State University of New York,Course,4.4,Mixed,25000,25k
International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,Course,4.8,Beginner,22000,22k
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,Course,4.8,Mixed,36000,36k
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,Course,4.8,Mixed,19000,19k
International Leadership and Organizational Behavior,Università Bocconi,Course,4.8,Mixed,41000,41k
International Marketing & Cross Industry Growth,Yonsei University,Specialization,4.6,Beginner,26000,26k
International Organizations Management,University of Geneva,Course,4.8,Beginner,20000,20k
International Security Management,Erasmus University Rotterdam,Course,4.5,Beginner,2200,2.2k
International Women's Health and Human Rights,Stanford University,Course,4.9,Beginner,35000,35k
International migrations: a global issue,Sciences Po,Course,4.6,Beginner,11000,11k
Internet Connection: How to Get Online?,Cisco,Course,4.7,Beginner,36000,36k
Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,Course,4.8,Mixed,38000,38k
Interviewing and Resume Writing in English,"University of Maryland, College Park",Specialization,4.6,Intermediate,66000,66k
Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,Course,4.7,Beginner,140000,140k
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,Course,4.4,Beginner,100000,100k
Introduction aux Droits de l’Homme,University of Geneva,Course,4.8,Mixed,46000,46k
Introduction to Ableton Live,Berklee College of Music,Course,4.8,Mixed,60000,60k
Introduction to Artificial Intelligence (AI),IBM,Course,4.7,Beginner,44000,44k
Introduction to Big Data,University of California San Diego,Course,4.6,Mixed,160000,160k
Introduction to Blockchain Technologies,INSEAD,Course,4.7,Beginner,16000,16k
Introduction to Breast Cancer,Yale University,Course,4.9,Mixed,27000,27k
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,Course,4.7,Intermediate,14000,14k
Introduction to CSS3,University of Michigan,Course,4.8,Mixed,84000,84k
Introduction to Calculus,The University of Sydney,Course,4.8,Intermediate,53000,53k
Introduction to Chemistry:  Reactions and Ratios,Duke University,Course,4.8,Beginner,46000,46k
Introduction to Classical Music,Yale University,Course,4.9,Mixed,150000,150k
Introduction to Cloud Computing,IBM,Course,4.6,Beginner,2600,2.6k
Introduction to Computer Programming,"Goldsmiths, University of London",Course,4.3,Beginner,20000,20k
Introduction to Computer Science and Programming,"Goldsmiths, University of London",Specialization,4.3,Beginner,32000,32k
Introduction to Corporate Finance,University of Pennsylvania,Course,4.6,Mixed,130000,130k
Introduction to Cyber Attacks,New York University,Course,4.7,Beginner,27000,27k
Introduction to Cyber Security,New York University,Specialization,4.7,Beginner,32000,32k
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,Course,4.5,Beginner,30000,30k
Introduction to Data Analysis Using Excel,Rice University,Course,4.7,Mixed,99000,99k
Introduction to Data Science,IBM,Specialization,4.6,Beginner,310000,310k
Introduction to Data Science in Python,University of Michigan,Course,4.5,Intermediate,390000,390k
Introduction to Dental Medicine,University of Pennsylvania,Course,4.8,Beginner,25000,25k
Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,Specialization,4.4,Beginner,75000,75k
Introduction to Electronics,Georgia Institute of Technology,Course,4.7,Mixed,110000,110k
Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,Course,4.5,Intermediate,41000,41k
Introduction to Engineering Mechanics,Georgia Institute of Technology,Course,4.7,Mixed,150000,150k
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,Course,4.8,Mixed,34000,34k
Introduction to Financial Accounting,University of Pennsylvania,Course,4.7,Mixed,200000,200k
Introduction to Forensic Science,"Nanyang Technological University, Singapore",Course,4.9,Mixed,47000,47k
Introduction to Game Development,Michigan State University,Course,4.8,Mixed,79000,79k
Introduction to Genetics and Evolution,Duke University,Course,4.8,Mixed,74000,74k
Introduction to Genomic Technologies,Johns Hopkins University,Course,4.6,Mixed,42000,42k
Introduction to HTML5,University of Michigan,Course,4.7,Mixed,220000,220k
Introduction to Imagemaking,California Institute of the Arts,Course,4.5,Beginner,54000,54k
Introduction to Intellectual Property,University of Pennsylvania,Course,4.8,Beginner,6000,6k
Introduction to International Criminal Law,Case Western Reserve University,Course,4.8,Mixed,82000,82k
Introduction to Marketing,University of Pennsylvania,Course,4.8,Mixed,220000,220k
Introduction to Mathematical Thinking,Stanford University,Course,4.8,Intermediate,270000,270k
Introduction to Operations Management,University of Pennsylvania,Course,4.5,Mixed,87000,87k
Introduction to Personal Branding,University of Virginia,Course,4.4,Beginner,140000,140k
Introduction to Philosophy,The University of Edinburgh,Course,4.6,Mixed,370000,370k
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,Course,4.8,Mixed,11000,11k
Introduction to Probability and Data,Duke University,Course,4.7,Beginner,160000,160k
Introduction to Programming in C,Duke University,Specialization,4.7,Beginner,82000,82k
Introduction to Programming with MATLAB,Vanderbilt University,Course,4.8,Beginner,270000,270k
Introduction to Psychology,Yale University,Course,4.9,Beginner,270000,270k
Introduction to Scripting in Python,Rice University,Specialization,4.7,Beginner,49000,49k
Introduction to Self-Driving Cars,University of Toronto,Course,4.8,Advanced,39000,39k
Introduction to Spreadsheets and Models,University of Pennsylvania,Course,4.2,Mixed,76000,76k
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,Course,4.7,Beginner,12000,12k
Introduction to Sustainability,University of Illinois at Urbana-Champaign,Course,4.8,Mixed,69000,69k
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,Course,4.8,Mixed,67000,67k
Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),Course,4.7,Mixed,33000,33k
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",deeplearning.ai,Course,4.7,Intermediate,150000,150k
Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,Course,4.8,Beginner,4100,4.1k
"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,Course,4.0,Intermediate,13000,13k
Introduction to Typography,California Institute of the Arts,Course,4.8,Beginner,72000,72k
Introduction to User Experience Design,Georgia Institute of Technology,Course,4.5,Beginner,87000,87k
Introduction to User Experience Principles and Processes,University of Michigan,Course,4.8,Beginner,16000,16k
Introduction to Web Development,"University of California, Davis",Course,4.7,Beginner,76000,76k
Introduction to the Biology of Cancer,Johns Hopkins University,Course,4.8,Beginner,110000,110k
Introductory Human Physiology,Duke University,Course,4.7,Mixed,270000,270k
Introdução aos Princípios e Práticas da Gestão De Projetos,Universidade de São Paulo,Specialization,4.9,Beginner,4500,4.5k
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,Course,4.9,Beginner,120000,120k
Investment Management,University of Geneva,Specialization,4.7,Beginner,99000,99k
Investment Management with Python and Machine Learning,EDHEC Business School,Specialization,4.6,Beginner,14000,14k
Investment and Portfolio Management,Rice University,Specialization,4.5,Beginner,49000,49k
Japanese for beginners 1,Saint Petersburg State University,Course,4.6,Beginner,4400,4.4k
Java Programming and Software Engineering Fundamentals,Duke University,Specialization,4.6,Beginner,380000,380k
Java Programming: Solving Problems with Software,Duke University,Course,4.6,Beginner,160000,160k
Julia Scientific Programming,University of Cape Town,Course,4.5,Beginner,22000,22k
Kotlin for Java Developers,JetBrains,Course,4.7,Intermediate,37000,37k
L'excellence opérationnelle en pratique,ESSEC Business School,Course,4.7,Beginner,8000,8k
"L'impact investing, la finance qui change le monde",ESSEC Business School,Specialization,4.6,Beginner,6300,6.3k
Leadership Development for Engineers,Rice University,Specialization,4.7,Beginner,17000,17k
Leadership in 21st Century Organizations,Copenhagen Business School,Course,4.7,Mixed,34000,34k
Leading Healthcare Quality and Safety,The George Washington University,Course,4.8,Beginner,16000,16k
Leading People and Teams,University of Michigan,Specialization,4.7,Beginner,220000,220k
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,Course,4.7,Intermediate,5900,5.9k
Leading: Human Resource Management and Leadership,Macquarie University,Specialization,4.8,Intermediate,16000,16k
Learn Chinese: HSK Test Preparation,Peking University,Specialization,4.8,Beginner,43000,43k
Learn English,Tsinghua University,Specialization,4.3,Beginner,22000,22k
Learn English: Advanced Academic Speaking and Listening,"University of California, Irvine",Specialization,4.5,Intermediate,78000,78k
Learn English: Advanced Grammar and Punctuation,"University of California, Irvine",Specialization,4.8,Advanced,52000,52k
Learn English: Intermediate Grammar,"University of California, Irvine",Specialization,4.7,Intermediate,120000,120k
Learn Mandarin Chinese,Shanghai Jiao Tong University,Specialization,4.8,Beginner,39000,39k
Learn SQL Basics for Data Science,"University of California, Davis",Specialization,4.6,Beginner,160000,160k
Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",Specialization,4.6,Beginner,80000,80k
Learn to Program: The Fundamentals,University of Toronto,Course,4.8,Beginner,180000,180k
Learn to Speak Korean 1,Yonsei University,Course,4.9,Beginner,120000,120k
Learning to Teach Online,UNSW Sydney (The University of New South Wales),Course,4.7,Beginner,68000,68k
Legal Tech & Startups,IE Business School,Course,4.5,Intermediate,7200,7.2k
Les Fondamentaux de la Négociation,ESSEC Business School,Course,4.7,Beginner,10000,10k
Liderazgo efectivo para el siglo XXI,Universidad de los Andes,Specialization,4.8,Intermediate,23000,23k
Linear Circuits 1: DC Analysis,Georgia Institute of Technology,Course,4.6,Mixed,29000,29k
Love as a Force for Social Justice,Stanford University,Course,4.7,Beginner,14000,14k
Machine Learning,University of Washington,Specialization,4.6,Intermediate,290000,290k
Machine Learning,Stanford University,Course,4.9,Mixed,3200000,3.2m
Machine Learning Foundations: A Case Study Approach,University of Washington,Course,4.6,Mixed,240000,240k
Machine Learning and Reinforcement Learning in Finance,New York University,Specialization,3.7,Intermediate,29000,29k
Machine Learning for All,University of London,Course,4.6,Beginner,19000,19k
Machine Learning for Business Professionals,Google Cloud,Course,4.6,Intermediate,58000,58k
Machine Learning for Trading,Google Cloud,Specialization,3.9,Intermediate,15000,15k
Machine Learning with Python,IBM,Course,4.7,Intermediate,120000,120k
Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,Specialization,4.5,Intermediate,72000,72k
Magic in the Middle Ages,Universitat de Barcelona,Course,4.6,Beginner,78000,78k
Making Architecture,IE School of Architecture & Design,Course,4.7,Beginner,43000,43k
Management of Fashion and Luxury Companies,Università Bocconi,Course,4.7,Mixed,120000,120k
Managerial Accounting Fundamentals,University of Virginia,Course,4.9,Beginner,11000,11k
Managerial Economics and Business Analysis,University of Illinois at Urbana-Champaign,Specialization,4.7,Beginner,55000,55k
Managing Innovation and Design Thinking,HEC Paris,Specialization,4.7,Beginner,23000,23k
Managing Project Risks and Changes,"University of California, Irvine",Course,4.7,Mixed,71000,71k
Managing Social and Human Capital,University of Pennsylvania,Course,4.5,Beginner,27000,27k
Managing Your Health: The Role of Physical Therapy and Exercise,University of Toronto,Course,4.6,Beginner,47000,47k
Market Research,"University of California, Davis",Specialization,4.5,Beginner,22000,22k
Marketing Digital,Universidade de São Paulo,Course,4.8,Beginner,81000,81k
Marketing Digital,Universidad Austral,Specialization,4.7,Beginner,39000,39k
Marketing Gerencial,Universidad de Chile,Course,4.7,Intermediate,49000,49k
Marketing Mix Implementation,IE Business School,Specialization,4.6,Beginner,93000,93k
Marketing Strategy,IE Business School,Specialization,4.4,Beginner,57000,57k
Marketing Verde,Universidad de los Andes,Course,4.8,Mixed,58000,58k
Marketing con Redes Sociales,Tecnológico de Monterrey,Specialization,4.4,Intermediate,60000,60k
Marketing in a Digital World,University of Illinois at Urbana-Champaign,Course,4.7,Beginner,310000,310k
Mastering Data Analysis in Excel,Duke University,Course,4.2,Mixed,280000,280k
Mastering Final Cut Pro,LearnQuest,Course,4.6,Beginner,8400,8.4k
Mastering Software Development in R,Johns Hopkins University,Specialization,4.3,Beginner,52000,52k
Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",Course,4.7,Mixed,48000,48k
Mathematics for Data Science,National Research University Higher School of Economics,Specialization,4.5,Beginner,12000,12k
Mathematics for Machine Learning,Imperial College London,Specialization,4.6,Beginner,150000,150k
Mathematics for Machine Learning: Linear Algebra,Imperial College London,Course,4.7,Beginner,140000,140k
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,Course,4.7,Beginner,51000,51k
Mathematics for Machine Learning: PCA,Imperial College London,Course,4.0,Intermediate,33000,33k
Medical Cannabis: The Health Effects of THC and CBD,University of Colorado Boulder,Specialization,4.8,Beginner,4800,4.8k
Medical Neuroscience,Duke University,Course,4.9,Advanced,170000,170k
Memoir and Personal Essay: Write About Yourself,Wesleyan University,Specialization,4.3,Beginner,13000,13k
Methods and Statistics in Social Sciences,University of Amsterdam,Specialization,4.6,Beginner,260000,260k
Microeconomics Principles,University of Illinois at Urbana-Champaign,Course,4.9,Beginner,73000,73k
Microeconomics: The Power of Markets,University of Pennsylvania,Course,4.7,Mixed,34000,34k
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,Course,4.8,Beginner,230000,230k
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,Course,4.7,Beginner,120000,120k
Model Thinking,University of Michigan,Course,4.8,Mixed,130000,130k
Modeling Risk and Realities,University of Pennsylvania,Course,4.6,Mixed,36000,36k
Modern Art & Ideas,The Museum of Modern Art,Course,4.7,Beginner,310000,310k
Modern Big Data Analysis with SQL,Cloudera,Specialization,4.8,Beginner,14000,14k
"Modern Robotics:  Mechanics, Planning, and Control",Northwestern University,Specialization,4.7,Intermediate,21000,21k
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,Course,4.7,Intermediate,9100,9.1k
Moral Foundations of Politics,Yale University,Course,4.8,Mixed,100000,100k
More Introduction to Financial Accounting,University of Pennsylvania,Course,4.9,Mixed,40000,40k
Mountains 101,University of Alberta,Course,4.9,Mixed,44000,44k
Municipal Solid Waste Management in Developing Countries,École Polytechnique Fédérale de Lausanne,Course,4.8,Intermediate,59000,59k
Music Business,Berklee College of Music,Specialization,4.8,Beginner,42000,42k
Music Business Foundations,Berklee College of Music,Course,4.9,Mixed,34000,34k
Music Production,Berklee College of Music,Specialization,4.8,Beginner,70000,70k
Nanotechnology: A Maker’s Course,Duke University,Course,4.8,Mixed,21000,21k
Natural Language Processing in TensorFlow,deeplearning.ai,Course,4.6,Intermediate,40000,40k
Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,Course,4.8,Mixed,95000,95k
"Negotiation, Mediation and Conflict Resolution",ESSEC Business School,Specialization,4.7,Beginner,22000,22k
Networking and Security Architecture with VMware NSX,VMware,Course,4.8,Intermediate,17000,17k
Networking in Google Cloud,Google Cloud,Specialization,4.7,Intermediate,290000,290k
Neural Networks and Deep Learning,deeplearning.ai,Course,4.9,Intermediate,630000,630k
Neurolinguistics,Saint Petersburg State University,Course,4.7,Mixed,41000,41k
New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",Course,4.7,Beginner,12000,12k
Newborn Baby Care,University of Colorado System,Specialization,4.8,Beginner,5300,5.3k
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,Course,4.8,Beginner,100000,100k
Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),Course,4.8,Intermediate,35000,35k
Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,Specialization,4.7,Intermediate,250000,250k
Object Oriented Programming in Java,Duke University,Specialization,4.6,Beginner,330000,330k
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,Course,4.7,Intermediate,21000,21k
Object-Oriented Design,University of Alberta,Course,4.7,Intermediate,33000,33k
Oil & Gas Industry Operations and Markets,Duke University,Course,4.8,Mixed,57000,57k
"Open Source Software Development, Linux and Git",The Linux Foundation,Specialization,4.4,Beginner,13000,13k
Operating Systems and You: Becoming a Power User,Google,Course,4.6,Beginner,76000,76k
Operations Analytics,University of Pennsylvania,Course,4.7,Mixed,80000,80k
Optical Engineering,University of Colorado Boulder,Specialization,4.2,Advanced,6200,6.2k
Organizational Leadership,Northwestern University,Specialization,4.7,Intermediate,92000,92k
